booker,game_teams,game_time,log,team1,team2,url
bwin,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.2,1.7,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
Coolbet,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.15,1.77,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
Marathonbet,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.16,1.74,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
Pinnacle,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.22,1.76,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
Unibet,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.17,1.75,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
best deal,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.22,1.77,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
18bet,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.98,1.9,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
1xBet,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.92,1.95,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
Asianodds,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,2.0,1.93,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
bet-at-home,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.92,1.86,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
bet365,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.95,1.86,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
Bethard,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.95,1.87,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
bwin,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.95,1.87,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
Coolbet,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.99,1.9,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
Marathonbet,"Cleveland Indians - Boston Red Sox Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:10",08/13/19 04:18 PM,1.93,1.93,https://www.oddsportal.com/baseball/usa/mlb/cleveland-indians-boston-red-sox-C871ckCm/
